Risk Register: To track risks,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Project Name: ,Salesforce Sales Cloud Implementation Project for Glassco Lab,,,,,,,,,,,,,,,,,,,,,,,,
Date: ,[Today's Date],,,,,,,,,,,,,,,,,,,,,,,,
Author: ,[Your Name],,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Risk ID,Date Identified,Risk Description,Probability,Impact,Risk Owner,Mitigation Plan,Status,Comments,,,,,,,,,,,,,,,,,
R-001,[Date],Data migration errors causing data loss.,Medium,High,Data Migration Team,Additional validation steps during migration.,Open,Monitor closely during migration phases.,,,,,,,,,,,,,,,,,
R-002,[Date],User resistance to new system adoption.,High,Medium,Scrum Master,Conduct comprehensive training and early engagement.,Mitigated,Early engagement sessions were successful.,,,,,,,,,,,,,,,,,
R-003,[Date],Integration with ERP system may cause delays.,Medium,High,ERP Integration Lead,Regular meetings with ERP vendor to ensure progress.,Open,Need to monitor closely during integration.,,,,,,,,,,,,,,,,,
R-004,[Date],Budget overruns due to unexpected customization requests.,Low,Medium,Project Sponsor,Strict control over change requests; regular budget reviews.,Open,Adjustments made to change management process.,,,,,,,,,,,,,,,,,
R-005,[Date],Third-party software compatibility issues.,Low,High,Development Team,Conduct compatibility testing early in the project.,Closed,Testing completed with no major issues.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Probability and Impact Matrix (Inherent Risk),,,,,,,,,,,,,,,,,,,,,,,,
,,,Impact,,,,,,,,,,,,,,,,,,,,,,
,,,Low,Medium,High,,,,,,,,,,,,,,,,,,,,
,Probability,High,Medium,High,High,,,,,,,,,,,,,,,,,,,,
,,Medium,Low,Medium,High,,,,,,,,,,,,,,,,,,,,
,,Low,Low,Low,Medium,,,,,,,,,,,,,,,,,,,,
